,Sector,Category,Crop,QueryType,QueryText,KccAns,DistrictName,isPaddy
5403,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Blast  Neck blast and  improve grain filling in Paddy ,"Recommended to spray NATIVO (Tebuconazole 50% + Trifloxystrobin 25% WG) 10gm in 15 litres water to control Blast , Neck blast and also improve grain filling in Paddy ",BHADRAK,1
5422,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gundhi bug in Paddy,Recommended to spray Cartap hydrochloride 50%SP @ 400gm with 200 liter of water per acre for control of control of Gundhi bug in Paddy.,BHADRAK,1
5427,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy,"Recommended to spray Ridomil gold ( Metalaxyl-m  4% w/w + Mancozeb - 64% w/w ) @ 500 gm per 200 litre of water per 1 acre of land  ( foot rot , red rot , sett rot , phytopthora blight )",BHADRAK,1
5430,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy ,Recommended to spray Fipronil 5%sc  30ml in 15 liters water to control Leaf folder in Paddy ,BHADRAK,1
5432,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sucking pest in paddy,"Recommended to spray Ulala ( Flonicamid 50 % WG ) @ 65 g per 200 litre of water per 1 acre of land (5 g in 15 Litre water)
",BHADRAK,1
5435,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Case worm in Paddy,Recommended to spray (Chloropyriphos 50 EC + Cypermethrin 5% EC ) @ 400 ml per 200 litre of water per 1 acre of land to control Case worm in Paddy,BHADRAK,1
5436,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf curling in Paddy ,Advised to call right from the field after proper diagnosis of the disease ,BHADRAK,1
5437,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Sheath blight and Blast in Paddy,Recommended to spray (Azoxystrobin 16.7% +tricyclazole 33.3% sc)25ml in 15litres water  to control Sheath blight and Blast in Paddy.,BHADRAK,1
5438,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in Paddy ,"Recommended to spray Pymetrozine 50%wg (chess)10gm in 15 liters water to control Brown plant hopper in Paddy 
",BHADRAK,1
5439,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,leaf folder in paddy,Recommended to spray Caldan 50 SP ( Cartap hydrochloride 50% SP ) @ 400 gm per 200 litre of water per 1 acre of land.,BHADRAK,1
5440,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder and Brown plant hopper ,Recommended to spray Bayer Lesenta (Fipronil 40%+ Imidacloprid 40% WG) 10gm in 15 liters water to control Leaf folder and Brown plant hopper ,BHADRAK,1
5441,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,"Post emergence weeds in paddy 
","Recommended to spray Whip Super (Fenoxaprop-p-ethyl 9.3% EC)400ml +8gm Almix in 200 liters water per acre  to control Post emergence weeds in paddy 
",BHADRAK,1
5442,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,"Post emergence weeds in paddy 
","Recommended to spray Nominee Gold ( Bispyribac-Sodium 10% SC)80ml +8gm Almix in 200 liters water per acre  to control Post emergence weeds in paddy 
",BHADRAK,1
5443,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice hispa beetle in Paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land - systemic & Broad spectrum to control rice hispa beetle in paddy.,BHADRAK,1
5444,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in Brinjal,Recommended to spray plantomycin 1gm+SAAF(Carbendazim 12%+mancozeb 63%)2gm  in 1liter  water to control Root rot in Brinjal,BHADRAK,1
5445,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Case worm in Paddy,Recommended to spray (Chloropyriphos 50 EC + Cypermethrin 5% EC ) @ 400 ml per 200 litre of water,BHADRAK,1
5446,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Hispa in Paddy,Recommended to spray Profenofos 50%EC @ 2ml with 1 liter of water for control of  Hispa in Paddy.,BHADRAK,1
5447,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf holder in paddy,Recommended to spray IFFCO Shinzen Plus  Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land ,BHADRAK,1
5448,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Third dose of fertiliser in paddy,Recommended to apply Urea @ 20 kg and MOP @ 15 kg per acre as third top dressing fertiliser in Paddy.,BHADRAK,1
5449,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,Recommended to spray Bayer Regent or Iffco Shinzan plus Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) ,BHADRAK,1
5455,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer and leaf folder in Paddy,Recommended to spray Profex Super/Protex 555 (Profenophos 40% + Cypermethrin 4%) @ Dosage: 2-2.5ml/liter to control Stem borer and leaf folder in Paddy,BHADRAK,1
5459,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Case worm in Paddy,Recommended to spray Cartap hydrochloride 50% SP @ 400 g per 200 litre of water per 1 acre of land (2 g in 1 Litre water) to control Case worm in Paddy.,BHADRAK,1
5460,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sucking and chewing pest in paddy,Advised to use Bayer Lesenta  0.5gm per litre of water for sucking and chewing pest in paddy.,BHADRAK,1
5461,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath blight infestation in paddy ,Recommended to spray Hexaconazole 5% EC @ 400 ml per 200 litre of water per 1 acre of land ,BHADRAK,1
5462,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.,BHADRAK,1
5464,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Mealy bugs in Paddy,--Recommended to spray Sivanto Bayer (Flupyradifurone 17.09% SL) @ 2 ml per litre to control mealybugs in paddy.,BHADRAK,1
5465,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,About IR36 variety,Advice to contact KVK Bhadrak (06784265825) regarding availability of IR-36 Variety.,BHADRAK,1
5466,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.,BHADRAK,1
5468,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy ,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) to control Leaf folder in Paddy ,BHADRAK,1
5473,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Bacterial leaf blight in Paddy,Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.,BHADRAK,1
5475,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf Folder in Paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for control of Leaf Folder in Paddy.,BHADRAK,1
5476,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management in paddy,"Recommended to spray Bispyribac sodium 10% SC (Nominee gold) @ 80ml per 200 litre of water per 1 acre of land (6 ml per 15 litre of water) and Almix @ 8gm per 15lit of water as post emergence herbicide spray in Paddy. 
",BHADRAK,1
5481,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice hispa beetle in paddy,Recommended to spray Indoxacarb 15.8% EC @ 120 ml in 200 Litre of water per acre of land (6 ml in 15 Litre water) to control rice hispa beetle in paddy.,BHADRAK,1
5482,AGRICULTURE,Cereals,Oats ,	Plant Protection	,Brown plant hopper BPH in Paddy,"Recommended to spray Pymetrozine 50%WG(CHESS) @ 10gm with 15 liter of water for control of Brown plant hopper (BPH) in Paddy.

",BHADRAK,1
5483,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Thrips in paddy,"Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for control of  thrips in paddy.
  ",BHADRAK,1
5485,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy,Recommended to spray  Propiconozole @1 ml per litre  ,BHADRAK,1
5486,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Disease in paddy,Advised to call with proper identification,BHADRAK,1
5487,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath blight in Paddy,Recommended to spray Pulsor (Thifluzamide 24 % SC) @ 12 ml in 15 L of water to control the sheath blight in paddy.,BHADRAK,1
5488,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice hispa  sucking pest in paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land .,BHADRAK,1
5492,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,"Recommended to spray AMPLIGO syngenta,Chlorantraniliprole (10 %)+ Lambdacyhalothrin (5%) ZC @  100ml  for rice in  200 liter of water per acre of land / 7.5 ml in 15 liter of water.",BHADRAK,1
5493,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,redning of tip portion of paddy,Recommended to spray Potassium Sulphate /sulphate of potash (00-00-50) @ 1000 gm per 200 liter of water per acre of land /5-7 gm per liter of water. ,BHADRAK,1
5494,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gall midge in paddy ,--Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) ,BHADRAK,1
5499,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Leaf folder in paddy ,"Recommended to spray IFFCO Shinzen Plus, Dhanuka Fax SC, Bayer  Regent (Fipronil 5% SC) @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for Leaf folder in paddy ",BHADRAK,1
5502,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Infestation of leaf folder in paddy,Recommended to spray Fax SC (Fipronil 5% SC) @ 2 ml/l of water two times,BHADRAK,1
5503,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,"Recommended to spray IFFCO Shinzen Plus, Dhanuka Fax SC, Bayer  Regent (Fipronil 5% SC) @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) ",BHADRAK,1
5505,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,BPH in paddy,Recommended to spray Ulala ( Flonicamid 50 % WG ) @ 65 g per 200 litre of water per 1 acre of land (5 g in 15 Litre water),BHADRAK,1
5506,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Aphids in Paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) to control aphids in paddy. ,BHADRAK,1
5507,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath blight  blast in paddy,Recommended to spray Nativo ( Tebuconazole 50% + Trifloxystrobin 25 % ) @ 100 gm per 200 litre of water per 1 acre of land  + Validamycin 3% L @ 2ml per liter of water for Rice blast .,BHADRAK,1
5511,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,stem borer  leaf folder in paddy,Recommended to spray Caldan 50 SP ( Cartap hydrochloride 50% SP ) @ 400 gm per 200 litre of water per 1 acre of land / VAYEGO Tetraniliprole 200 g/L@ 100 -120 ml /acre or 0.5 ml per liter of water,BHADRAK,1
5512,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Case worm  in paddy,Recommended to spray Cartap hydrochloride 50% SP @ 400 g per 200 litre of water per 1 acre of land (2 g in 1 Litre water) to control Case worm in Paddy.,BHADRAK,1
5514,AGRICULTURE,Others,Others,	Plant Protection	,Leaf blight in paddy,Recommended to dip the root with Copper oxychloride @ 3gm/litre + Plantomycin @ 1 gm/litre of wate,BHADRAK,1
5516,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,leaf folder in paddy,"Recommended to spray VAYEGO Tetraniliprole 200 g/L@ 100 -120 ml /acre in 200 liter of water for control of Lepidopteran species in different crops such as rice,",BHADRAK,1
5517,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,"precaution dose for Brown Plant hopper in Paddy 
","Recommended to spray DuPont's Pexalon (Triflumezopyrim 10% SC) @ 94-100 ml per  200 litre of water per acre of land (10 ml per 15 litre) of water as precaution dose for Brown Plant hopper in Paddy
-",BHADRAK,1
5519,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice Gall Midge infestation in Paddy,"Recommended to spray Cartap hydrochloride 50% SP @ 400 gm per 200 litre of water per 1 acre of land (30gm per 15lit of water).
OR 
Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml per 15lit of water).",BHADRAK,1
5521,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper preventive insecticide,Recommended to spray Triflumezopyrim 10% SC @ 94 ml/acre of land,BHADRAK,1
5522,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Dose of fertilizer for Paddy,Advice to apply Urea @ 20 kg +MOP @ 10 kg Per acre.,BHADRAK,1
5537,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy,Recommended to spray Profex Super/Protex 555 (Profenophos 40% + Cypermethrin 4%) @ Dosage: 2-2.5ml/liter to control Leaf folder in Paddy,BHADRAK,1
5538,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Can I use fertilizer along with the insecticide application,Advised to apply fertilizer after seven days of insecticide application.,BHADRAK,1
5540,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper  and leaf folder in Paddy ,Recommended to apply Syngenta Alika (Lambda 9.5% + Thiamethoxam 12.6% ZC)8ml in 15 liters water to control Brown plant hopper  and leaf folder in Paddy ,BHADRAK,1
5542,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy ,Recommended to spray  Lambda-cyhalothrin 5% EC 30ml in 15 liters water to control  Leaf folder in Paddy ,BHADRAK,1
5543,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in Paddy ,Recommended to spray Pymetrozine 50%wg (chess)10gm in 15 liters water to control Brown plant hopper in Paddy ,BHADRAK,1
5545,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,"Recommended to spray IFFCO Shinzen Plus, Dhanuka Fax SC, Bayer  Regent (Fipronil 5% SC) @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for Stem borer in paddy 
  ",BHADRAK,1
5546,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy ,Recommended to USTAAD (Cypermethrin 10% EC) 30ml in 15 liters water or Fipronil 5%sc 30ml in 15 liters water to control  Leaf folder in Paddy ,BHADRAK,1
5547,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper infestation in paddy ,Recommended to spray lancer gold ( Acephate 50% + Imidacloprid 1.8% SP ) @ 400 g per 200 litre of water per 1 acre of land (2 g in 1 Litre water). OR (Pymetrozine 50% WG) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water) ,BHADRAK,1
5548,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper and leaf folder in Paddy ,Recommended to spray Fipronil 5%sc 30ml+Pymetrozine 50%wg 10gm  in 15liters water to control Brown plant hopper and leaf folder in Paddy ,BHADRAK,1
5549,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gall midge in paddy ,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) ,BHADRAK,1
5551,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Bacterial Leaf Blight in Paddy ,--Recommended to spray Plantomycin 15gm+Copper Oxychloride 50%wp 45gm in 15 liters water to control Bacterial Leaf Blight in Paddy ,BHADRAK,1
5557,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gall midge in paddy ,"Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) 
it is available in name of regents, fax tata sonic etc",BHADRAK,1
5558,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gall midge in paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for control of gall midge in paddy.,BHADRAK,1
5559,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper BPH in Paddy,Recommended to spray Acephate 75%SP @ 30gm with 15 liter of water for control of Brown plant hopper (BPH) in Paddy. ,BHADRAK,1
5560,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,Recommended to spray Flubendiamide 20% WG @ 100 ml per 200 litre of water per 1 acre of land (5 ml Per 15 Liter of Water,BHADRAK,1
5561,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,Recommended to spray Copper oxychloride 50%WP @ 3gm+ Kasugamycin 3% SL (Biomycin) @ 3ml with 1 liter of water for control of Bacterial leaf blight in Paddy.,BHADRAK,1
5562,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,"Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.
",BHADRAK,1
5563,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,hispa in paddy,Recommended to spray Profex Super/Protex 555 (Profenophos 40% + Cypermethrin 4%) @ Dosage: 2-2.5ml/liter to control hispa in paddy,BHADRAK,1
5564,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Hispa in paddy,Recommended to spray Fipronil 5% SC @ 2 ml/l of water to control Hispa in paddy,BHADRAK,1
5565,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) .,BHADRAK,1
5566,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Fertilizer management in paddy,Apply Urea @ 20 kg +MOP @ 10 kg(panicle initiation stages) ,BHADRAK,1
5567,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy,"Recommended to spray Lambda cyhalothrin 5%EC @ 1ml with 1 liter of water for control of Leaf folder in Paddy.
Recommended to spray Cartap hydrochloride 50%SP @ 2gm with 1 liter of water for control of Leaf folder in Paddy.",BHADRAK,1
5568,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,Recommended to spray Flubendiamide 20% WG @ 100 g per 200 litre of water per 1 acre of land (5 g Per 15 Liter of Water) to control Leaf folder in paddy,BHADRAK,1
5569,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Use of chemicals for Paddy,"Recommended to spray Chlorpyriphos 50% + Cypermethrin 5% EC @ 400ml with 200 liter of water per acre for control of leaf folder, stem borer, BPH in Paddy.",BHADRAK,1
5570,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy,Recommended to spray (Profenofos 40% + Cypermethrin 4% E.C) @ 2ml in 1 liter of water for control of Leaf folder in Paddy. ,BHADRAK,1
5571,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml per 15lit of water).,BHADRAK,1
5572,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,"Recommended to spray Chlorantraniliprole 18.5% SC @ 60 ml/acre (Coragen,Cover)",BHADRAK,1
5573,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Panicle initiation fertiliser application ,Recommended to apply 18kg Urea +12 kg MOP per acre of land.,BHADRAK,1
5576,AGRICULTURE,Cereals,Paddy (Dhan),	Field Preparation	,Leaf folder in paddy,Recommended to spray Cartap hydrochloride 50% SP @ 400 g per 200 litre of water per 1 acre of land (2 g in 1 Litre water) to control leaf folder in paddy.,BHADRAK,1
5577,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre (2ml/1lit) of water per 1 acre of land for control of leaf folder in paddy.,BHADRAK,1
5579,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,Recommended to spray Flubendiamide 20% WG @ 50 g per 200 litre of water per 1 acre of land to control Leaf folder in paddy (3 g in 15 L of water),BHADRAK,1
5581,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer application in Paddy,Fertilizer application in Paddy at flowering (Thoda sara):-  Urea @ 20 kg and MOP @ 10 kg,BHADRAK,1
5582,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Dose of Dhanzyme gold G ,Dose of Dhanzyme gold G @ 5 kg,BHADRAK,1
5583,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,weed management in Paddy,"Recommended to spray 2,4-D Sodium salt @ 500gm + Almix (Metsulfuron Methyl 10% + Chlorimuron Ethyl 10%) @ 8gm with 200 liter of water for weed management in Paddy.",BHADRAK,1
5586,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,leaf folder in paddy,Recommended to spray Caldan 50 SP ( Cartap hydrochloride 50% SP ) @ 400 gm per 200 litre of water per 1 acre of land + sticker Dhanuvit        - Dhanuka company     - 7.5 ml per 15 litre,BHADRAK,1
5588,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice leaf folder in paddy,Recommended to spray Dhanuka Marker or Iffco Hamada ( Bifenthrin 10 % EC ) @ 200 ml per acre for rice leaf folder in paddy.,BHADRAK,1
5591,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Better growth of paddy,Recommended to spray Agromin Gold(Micronutrients)@  80 ml per 200 litre of water per acre of land (6 ml per 15 litre) for Better growth of paddy,BHADRAK,1
5592,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice leaf folder in paddy,Recommended to spray Dhanuka Marker or Iffco Hamada ( Bifenthrin 10 % EC ) @ 200ml per acre for rice leaf folder in paddy.,BHADRAK,1
5593,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,--Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for control of leaf folder in paddy.,BHADRAK,1
5594,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water)  to control leaf folder in paddy.,BHADRAK,1
5595,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in Paddy,Recommended to spray Lambda cyhalothrin 5%EC @ 1ml with 1 liter of water for control of Stem borer in Paddy.,BHADRAK,1
5600,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,leaf folder  case worm in paddy,Recommended to spray Buyer VAYEGO INSECTICIDE Tetraniliprole 200 g/L @ 120 per 200 litre of water in 1 acre of land / 9 ml in 15 liter of water.,BHADRAK,1
5601,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land - systemic & Broad spectrum or Flubendiamide @ 40ml per 200lit of water  to control leaf folder in paddy.,BHADRAK,1
5602,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Mixing of Lambda Cyhalothrin 49 CS and Chloropyriphos 50   cypermethrin 5  EC,Advised to not mix Lambda Cyhalothrin 4.9% CS and Chloropyriphos 50 % + cypermethrin 5 % EC,BHADRAK,1
5603,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Lambda Cyhalothrin 49 CS dose ,Recommended to spray Lambda Cyhalothrin 4.9% CS@1.5 - 2.0 Ml / Liter of water.,BHADRAK,1
5604,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Thrips in paddy,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water)  to control thrips in paddy.,BHADRAK,1
5606,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,leaf folder in paddy,"Recommended to spray Syngenta Ampligo,(Chlorantraniliprole 10% + Lambdacyhalothrin 5% ZC) @ 100ml per acre with 200 lts of water,Target pests: Stem Borer, Leaf folder, Green leaf hopper
",BHADRAK,1
5611,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in paddy,Recommended to spray Flubendiamide 480 SC @ 40 ml per 200 litre of water per 1 acre of land  (3ml Per 15 Liter water)  to control leaf folder in paddy.,BHADRAK,1
5619,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder or leaf roller infestation in paddy ,Recommended to spray Flubendiamide 480 SC @ 65 ml per 200 litre of water per 1 acre of land (5ml in 15 litre of water ),BHADRAK,1
5620,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder or leaf roller infestation in paddy ,Recommended to spray Profenophos 40% + Cypermethrin 4% EC @ 400 ml per 200 litre of water per  1 acre of land,BHADRAK,1
5621,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder in Paddy,Recommended to spray ( IMIDACLOPRID 6% + LAMBDA - CYHALOTHRIN 4% SL)12ml in 15 liters water to control Leaf folder in Paddy,BHADRAK,1
5622,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf eating caterpillar in paddy ,Recommended to spray Profenophos 40% + Cypermethrin 4% EC @ 400 ml per 200 litre of water per  1 acre of land,BHADRAK,1
5623,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf folder infestation in paddy,"Recommended to spray caldan (Cartap hydrochloride 50% SP) @ 400 g per 200 litre of water per 1 acre of land (2 g in 1 Litre water)(30g/15lt of water)
",BHADRAK,1
5624,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper in paddy,Recommended to spray Ulala ( Flonicamid 50 % WG ) @ 65 g per 200 litre of water per 1 acre of land (5 g in 15 Litre water) for Brown plant hopper in paddy.,BHADRAK,1
5625,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Osheen dosage in paddy ,Recommended to spray Osheen (Dinotefuran 20% SG ) @ 80 g per 200 litre of water per 1 acre of land (6 g in 15 Litre water) for Brown plant hopper in paddy ,BHADRAK,1
5626,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Ulala  dosage in paddy,Recommended to spray Ulala ( Flonicamid 50 % WG ) @ 65 g per 200 litre of water per 1 acre of land (5 g in 15 Litre water) for Brown plant hopper in paddy ,BHADRAK,1
